allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,championId,championName,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,sightWardsBoughtInGame,summonerLevel,teamEarlySurrendered,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
0,0,27,0,1,0,0,24810,18,61,Orianna,11,7,4151,23229,4151,31505,0,7,3,0,0,4,0,True,False,False,True,False,False,8,18052,17175,0,1,3,0,3040,3135,4645,3089,3020,6655,3363,31,2,5,0,2,1,735,237494,44040,11813,0,16,0,0,1,0,0,25,0,22918,1649,20035,0,0,0,161,False,MIDDLE,49,2673,12,260857,45690,10880,32246,0,3631,0,283,562,303,1,0,444,0,397,2,4,3,0,44,3,3,16,True
1,13,3,1,0,0,5,20351,18,145,Kaisa,26,13,5071,41685,5071,22740,0,5,4,4,0,12,1,False,False,False,False,False,False,7,20005,18225,1,0,3,0,3124,3115,3095,3091,3085,3006,3363,37,4,16,297,5,3,912,114388,23803,15809,2,72,0,0,0,0,0,22,0,171791,14318,14768,3,0,0,331,False,BOTTOM,7,2673,50,305620,41516,0,31124,8,10191,662,220,166,197,2,2,19440,3394,545,1,4,3,0,38,5,4,16,True
0,1,25,0,0,0,0,16790,17,497,Rakan,13,20,1094,3849,1094,36801,0,5,12,0,0,2,0,True,False,False,False,False,False,0,12567,11900,0,0,3,0,3860,2055,3107,8001,2065,3111,3364,40,1,3,0,2,1,789,19065,7073,9543,0,0,0,0,0,0,0,4,0,9324,1482,27147,1,0,0,461,False,UTILITY,57,2673,0,39452,12031,6487,37157,0,15702,5531,55,305,133,5,0,11061,3476,465,1,5,3,0,149,14,18,69,True
4,2,3,0,0,0,0,8129,11,85,Kennen,4,9,428,658,428,6505,0,6,3,0,0,6,0,False,False,False,False,False,True,0,5792,5710,0,0,0,0,3152,1052,2003,0,3020,0,3340,16,0,1,0,0,1,344,31042,9281,1310,0,0,0,0,0,0,0,6,0,15356,1786,10111,1,0,0,300,False,TOP,16,1116,0,49119,11067,0,12077,0,676,0,106,45,178,1,0,2720,0,654,0,0,5,0,20,3,2,9,False
0,0,2,0,0,0,0,6511,10,245,Ekko,2,1,0,1673,0,8778,0,7,0,0,0,0,0,False,False,False,False,False,True,0,6419,4700,0,0,0,0,1101,1001,3152,3057,0,0,3340,9,1,3,0,2,1,287,43824,3022,2864,1,60,0,0,0,0,0,0,0,15719,715,14815,0,0,0,464,False,JUNGLE,5,1116,53,75494,3827,0,18009,0,6057,0,20,260,135,1,0,15949,90,329,0,0,5,0,12,0,2,5,False
0,5,5,0,0,0,0,8408,11,516,Ornn,0,3,0,0,0,15309,0,7,1,1,0,7,0,False,False,False,False,False,True,11,7417,5900,0,0,0,0,3067,3068,3076,3047,1054,2055,3340,15,1,3,4,2,2,268,32921,5716,8316,0,0,0,0,0,0,0,11,0,28808,3185,9895,0,0,0,128,False,MIDDLE,17,1116,0,61730,8902,0,18689,0,286,0,136,272,132,1,0,0,0,477,0,0,5,0,10,2,1,6,False
0,0,4,0,0,0,1,5871,9,222,Jinx,5,3,0,0,0,4878,0,8,1,0,0,13,0,False,False,False,False,False,True,6,6851,6525,0,0,0,0,3031,1083,3006,3086,1042,0,3340,16,0,3,358,0,1,255,1982,1254,582,0,0,0,0,0,0,0,1,0,36724,5663,10775,0,0,0,368,False,BOTTOM,7,1116,0,39372,7110,0,11708,0,485,0,104,54,153,1,0,666,192,350,0,0,5,0,7,1,0,6,False
0,3,7,0,0,0,0,6427,10,902,Milio,13,5,0,0,0,5242,0,4,3,0,0,16,0,False,False,False,False,False,True,14,4572,4125,0,0,0,0,3853,6617,3158,0,0,0,3364,17,0,1,0,0,1,248,5486,2235,1491,0,0,0,0,0,0,0,4,0,3508,1716,8548,0,0,0,286,False,UTILITY,9,1116,0,8995,3951,2287,10306,0,4987,2453,6,109,55,5,0,0,0,266,0,0,5,0,27,3,1,16,False
1,5,2,0,0,0,2,9972,13,234,Viego,0,9,3589,16948,3589,6054,0,0,2,0,0,7,1,False,False,False,False,False,True,0,9103,6050,0,0,0,0,0,1055,0,3111,3153,1043,3340,17,1,2,0,2,1,0,8507,740,5221,0,10,0,0,0,0,0,19,0,76263,3496,5976,1,0,0,59,False,TOP,6,1116,0,111633,4758,0,11198,2,5384,0,147,21,0,1,0,26862,522,0,2,3,0,0,13,4,1,7,True
0,1,6,0,0,0,0,9178,12,141,Kayn,4,3,559,21316,559,10791,0,1,1,1,2,3,0,True,False,False,False,False,True,0,8560,8450,1,0,0,0,6693,3158,6691,3070,1036,2055,3364,14,1,7,0,7,2,1083,903,903,5373,0,124,0,0,0,0,0,11,0,115764,7483,10855,0,0,0,216,False,JUNGLE,2,1116,65,135817,8660,0,16229,25,9970,0,12,217,0,1,0,19149,274,0,0,0,0,0,17,2,2,3,True
0,0,4,0,0,0,0,10030,13,55,Katarina,0,0,877,877,877,6277,0,4,0,2,0,10,0,True,False,False,False,False,True,0,8117,8050,0,0,0,0,6672,2031,3006,3124,1018,0,3340,16,2,8,264,4,2,412,57552,11967,5312,0,0,0,0,0,0,0,2,0,24735,5313,6655,0,0,0,406,False,MIDDLE,2,1116,0,86827,17879,0,12003,0,1361,0,118,47,65,1,0,4540,598,36,1,1,0,0,7,0,0,5,True
0,2,13,0,0,0,0,8824,12,119,Draven,19,2,4529,4529,4529,4896,0,2,1,0,0,2,0,False,False,False,False,False,True,6,11500,10825,0,0,0,0,6691,3508,3006,6676,0,0,3363,22,1,6,779,5,1,987,0,0,4769,0,1,0,0,0,0,0,32,0,89991,18212,6594,1,0,0,235,False,BOTTOM,10,1116,0,89991,18212,0,11573,1,3616,0,150,58,35,1,0,0,0,210,2,3,0,0,23,1,2,7,True
1,1,9,0,0,0,2,6882,10,80,Pantheon,3,7,1515,6161,1515,6206,0,4,2,1,0,2,0,False,True,True,False,False,True,0,8460,7150,0,0,0,0,3179,2055,3158,3855,6692,0,3364,23,2,9,0,4,2,460,0,0,3594,0,0,0,0,0,0,0,1,0,27007,9203,8088,0,0,0,813,False,UTILITY,18,1116,0,36359,9887,0,11719,0,1399,0,35,19,81,1,0,9351,683,36,0,2,0,0,35,5,8,10,True
0,6,4,0,0,0,1,11202,13,82,Mordekaiser,4,1,1494,2998,1494,31593,0,5,0,1,0,10,0,False,False,False,False,False,True,4,10066,9975,0,0,1,0,6665,1026,3116,3047,1011,1052,3340,19,2,8,0,3,2,312,79289,15460,7857,0,20,0,0,0,0,0,10,0,16363,2967,15445,0,0,0,239,False,TOP,20,1357,14,100338,18428,0,24762,4,8257,0,119,312,121,1,0,4685,0,1458,0,0,0,0,11,0,1,6,True
0,2,8,0,1,0,4,13084,15,121,Khazix,3,4,53,35636,53,12026,0,1,3,0,1,1,8,False,False,False,True,False,True,5,11931,11375,0,0,0,0,3026,3134,3179,1036,6691,3111,3364,16,1,4,0,4,1,266,659,659,5840,0,131,0,0,0,0,0,15,0,136655,9455,14586,0,0,0,340,False,JUNGLE,6,1357,62,176304,11640,0,21325,25,13307,0,33,180,12,1,0,38990,1525,899,3,3,0,0,34,3,7,5,True
0,0,2,0,0,0,0,12710,14,1,Annie,0,2,1582,1582,1582,6315,0,3,0,1,0,4,0,False,False,False,False,False,True,0,10271,8700,2,0,1,0,2424,4628,6655,3108,3020,0,3340,15,2,11,42,5,2,924,75506,17765,4832,0,0,0,0,0,0,0,0,0,9828,785,4549,0,0,0,88,False,MIDDLE,24,1357,0,91183,19702,1689,10519,0,231,0,143,168,70,1,0,5848,1151,1137,0,0,0,0,15,0,3,7,True
0,0,5,0,0,0,0,11087,13,119,Draven,2,1,12598,23234,12598,9368,0,5,0,1,0,1,0,False,False,False,False,False,True,0,13053,13133,0,1,1,0,1038,1053,6672,3078,3006,3036,3363,19,1,7,709,5,3,509,8178,635,6802,0,8,0,0,0,0,0,3,0,123494,12659,11113,0,0,0,173,False,BOTTOM,8,1357,8,140228,13549,0,19260,0,6284,0,162,66,121,1,1,8556,254,1344,3,6,0,0,10,0,0,7,True
4,12,13,0,0,0,3,9696,12,518,Neeko,9,3,3166,6221,3166,4512,0,2,1,0,0,6,0,False,False,False,False,False,True,10,9185,7525,0,0,0,0,3853,3152,1027,3020,3145,1058,3364,16,1,5,0,3,1,559,48592,10973,4398,0,4,0,0,0,0,0,35,0,9301,774,5989,0,0,0,118,False,UTILITY,36,1357,0,62608,12390,0,10849,4,1321,0,42,82,37,1,0,4714,642,462,2,3,0,0,29,1,1,9,True
0,2,7,0,0,0,0,9137,12,78,Poppy,8,1,795,1503,795,31440,0,7,1,1,0,32,0,True,False,False,False,False,True,0,8617,7875,1,0,0,1,2033,6662,3111,3193,0,0,3340,13,1,5,0,2,2,312,2974,1949,14477,0,4,0,0,0,0,0,6,0,61494,12862,8276,0,0,0,369,False,TOP,39,1357,0,64546,14890,0,23655,4,3229,0,94,1633,162,1,0,78,78,901,0,0,8,0,19,1,0,8,False
1,5,3,0,0,0,0,7432,11,35,Shaco,20,4,317,8771,317,6922,0,9,3,0,1,8,0,False,True,False,False,False,True,0,7017,6260,1,0,0,1,6653,3158,1028,1102,1052,1026,3364,19,0,3,0,0,1,311,61293,8661,8095,0,72,0,0,0,0,0,9,0,16719,909,10678,1,0,0,577,False,JUNGLE,23,1357,63,101217,11014,0,19496,0,5058,0,24,527,230,1,0,23203,1443,722,0,0,8,0,17,3,1,4,False
0,1,7,0,0,0,0,9540,12,103,Ahri,6,1,268,572,268,9487,0,6,1,1,0,10,2,False,False,False,False,False,True,0,7517,6775,0,0,0,1,6656,2033,3111,1082,3145,3108,3340,12,1,4,0,3,2,750,41431,10241,11526,0,0,0,0,0,0,0,19,0,12887,1246,7112,0,0,0,289,False,MIDDLE,25,1357,0,76947,15202,0,19945,0,2894,0,141,96,173,1,0,22628,3714,1307,0,0,8,0,18,1,2,8,False
0,1,5,1,0,0,0,8892,12,202,Jhin,2,1,418,1887,418,5349,0,9,0,0,0,10,0,False,False,False,False,False,True,0,10001,9950,0,0,0,1,2015,3031,3006,1083,3036,3086,3363,16,1,4,905,2,1,271,1122,508,6477,0,0,0,0,0,0,0,7,0,88849,13869,8781,0,0,0,215,False,BOTTOM,11,1357,0,90198,14443,0,15764,0,1552,0,156,40,197,1,0,226,66,506,0,0,8,0,8,0,0,5,False
0,2,8,0,0,0,0,7028,10,43,Karma,31,5,62,1167,62,4770,0,4,3,0,0,17,1,False,False,False,False,False,True,0,4948,4660,0,0,0,1,3853,2065,3158,1004,1052,0,3364,15,0,0,0,0,0,465,17882,4802,5642,0,0,0,0,0,0,0,12,0,2186,698,4065,1,0,0,739,False,UTILITY,14,1357,0,20069,5500,1297,9844,0,870,0,16,124,90,1,0,0,0,136,0,0,8,1,39,3,2,26,False
0,1,4,0,0,0,0,13574,15,166,Akshan,1,6,6484,6484,6484,11164,0,7,4,1,0,4,0,False,False,False,False,False,False,2,14763,14350,1,0,0,2,6671,3095,3087,1083,3111,3036,3363,25,3,8,534,3,2,394,33502,4762,10226,0,0,0,1,0,0,0,3,0,100947,15756,6990,0,0,0,509,False,TOP,0,1626,0,146217,21634,0,17874,0,3887,0,195,18,253,1,0,11767,1116,657,2,2,9,0,19,4,1,11,False
0,2,6,0,0,0,0,11081,13,234,Viego,4,2,501,31746,501,18616,0,7,1,0,3,7,4,False,False,False,False,False,False,0,11978,11775,0,0,0,2,6672,3153,6333,1036,0,3111,3340,22,1,8,508,4,1,500,18543,2589,11778,2,144,0,1,0,1,0,4,0,146644,14033,17180,0,0,0,514,False,JUNGLE,22,1626,88,193736,17686,0,29450,18,13897,0,29,315,234,1,0,28547,1062,491,1,1,9,0,19,2,1,7,False
0,1,5,1,0,0,0,11136,13,91,Talon,8,3,3602,8220,3602,12867,0,6,2,0,0,11,3,False,False,False,False,False,False,0,9213,9000,0,0,0,2,1055,6695,3070,6693,3111,3134,3364,20,1,4,460,2,1,525,0,0,8614,0,4,0,1,0,0,1,1,0,101351,13536,12745,0,0,0,598,False,MIDDLE,5,1626,0,105334,14678,0,22239,4,3907,0,164,160,175,1,0,3982,1142,878,1,1,9,0,16,2,2,6,False
0,0,6,0,0,0,0,9743,12,523,Aphelios,7,4,344,2811,344,10281,0,12,1,0,0,14,0,False,True,False,False,False,False,0,9302,9250,0,0,0,2,6671,3094,1036,1018,1055,3006,3363,21,1,5,494,2,1,274,1239,683,14317,0,0,0,1,0,0,1,5,0,85235,16987,7341,0,0,0,358,False,BOTTOM,13,1626,0,91621,17946,0,22135,0,2639,0,163,124,286,1,0,5146,275,476,0,0,9,0,21,3,5,9,False
0,3,11,0,0,0,0,8665,12,412,Thresh,12,9,122,421,122,17808,0,6,7,0,0,3,1,True,False,False,False,False,False,6,7005,6825,1,0,0,2,3857,3001,3109,3117,1029,1029,3364,23,0,1,0,0,1,472,11434,5927,12220,0,0,0,1,0,0,0,6,0,5744,1147,9411,0,0,0,414,False,UTILITY,52,1626,0,21483,7338,726,22094,0,3400,0,44,259,162,1,0,4304,263,462,0,0,9,0,66,7,7,25,False
1,0,4,2,0,0,0,13120,15,82,Mordekaiser,16,3,6280,9347,6280,24590,0,6,1,0,0,5,1,False,False,False,False,False,False,6,11041,8225,0,0,1,0,1054,2420,3047,3116,4633,0,3364,16,1,5,0,3,1,407,102731,9964,3248,0,0,0,0,0,0,0,16,0,20730,2291,23827,0,0,0,403,False,TOP,11,1626,0,123738,12532,0,27540,0,7172,0,165,208,196,1,0,276,276,465,3,6,4,0,16,1,1,4,True
1,0,14,0,1,0,6,15079,16,59,JarvanIV,7,2,1066,33395,1066,57188,0,5,1,2,1,0,0,False,False,False,False,False,False,0,15968,14625,0,1,2,0,6333,2421,3071,3075,6692,3047,3340,25,3,16,33,6,5,610,14456,1919,4719,0,136,0,0,1,0,0,17,1,169478,20689,17181,0,1,0,444,False,JUNGLE,30,1626,90,216235,23795,0,24864,20,11718,0,30,509,124,1,1,32299,1186,2963,0,4,4,0,21,1,4,7,True
0,2,13,0,0,0,1,14103,15,518,Neeko,5,5,3844,10088,3844,8923,0,4,2,0,0,17,0,False,False,False,False,False,False,18,11738,10815,0,0,0,0,6656,3157,2055,3020,4645,1082,3363,22,1,4,0,2,1,383,117153,23072,2112,0,6,0,0,0,0,0,6,0,11975,1284,11911,0,0,0,178,False,MIDDLE,58,1626,6,137420,25417,0,14270,0,1503,0,168,231,127,1,0,8291,1061,246,0,3,4,0,20,3,3,9,True
1,5,9,0,0,0,2,13573,15,221,Zeri,7,2,5709,15581,5709,10098,0,5,1,2,0,7,1,False,False,False,True,False,False,0,14012,11375,0,1,1,0,6673,3006,3124,1083,3036,1036,3363,21,3,10,561,4,2,430,39477,7903,2137,0,16,1,0,1,0,0,13,0,85948,11757,14642,0,0,0,215,False,BOTTOM,7,1626,2,154660,20103,0,17095,14,4021,0,178,91,108,1,0,29233,443,315,5,5,4,0,18,1,4,8,True
0,0,20,0,0,0,1,9812,12,43,Karma,4,7,1586,2762,1586,22773,0,6,3,0,0,1,2,False,False,True,False,False,False,3,9413,8035,0,0,1,0,6620,3110,3853,1052,3114,3158,3364,22,0,3,0,0,1,493,29667,12545,4031,0,0,0,0,0,0,0,11,0,6161,1741,12473,0,0,0,559,False,UTILITY,40,1626,0,35828,14286,4430,16820,0,4111,1941,19,387,139,5,0,0,0,315,1,4,4,0,68,4,6,33,True
0,6,2,0,0,0,0,9589,12,114,Fiora,6,6,0,0,0,17803,0,5,4,0,0,6,0,False,False,False,False,False,False,0,7378,7250,0,0,0,2,1055,3123,3077,0,6632,3047,3340,20,1,4,368,2,1,342,2291,1445,2767,0,0,0,1,0,0,0,6,0,58030,8998,18985,0,0,0,721,False,TOP,5,1337,0,66471,13353,0,21776,0,8563,837,125,72,130,3,0,6149,2909,24,0,0,9,0,19,4,1,11,False
1,0,4,0,0,0,0,9082,12,78,Poppy,0,1,0,4323,0,20039,0,6,0,0,0,1,0,False,False,False,False,False,False,0,8043,7800,0,0,0,2,3047,3742,6632,1102,0,0,3364,16,1,4,0,2,1,384,3148,1011,6657,0,74,0,1,0,0,0,22,0,103035,10443,13629,0,0,0,683,False,JUNGLE,24,1337,58,125301,12332,0,20348,8,6485,0,58,589,94,1,0,19117,878,62,0,0,9,0,6,0,1,0,False
0,0,0,0,0,0,0,1517,4,34,Anivia,0,2,0,0,0,9274,0,0,0,0,0,0,0,False,False,False,False,False,False,0,3415,500,0,0,0,2,3070,2003,0,0,0,0,3340,4,0,0,0,0,0,0,1540,408,0,0,0,0,1,0,0,0,6,0,1961,273,253,0,0,0,38,False,MIDDLE,1,1337,0,3513,694,0,253,0,0,0,20,51,0,0,0,12,12,0,0,0,9,0,3,0,0,2,False
0,0,2,0,0,0,0,9854,12,145,Kaisa,14,7,0,1379,0,7555,0,5,1,1,0,5,0,False,False,False,False,False,False,2,10512,10275,1,0,0,2,1055,3124,6672,1037,1053,3006,3340,22,2,8,0,4,2,520,25373,6061,3481,0,4,0,1,0,0,0,6,0,71883,9204,10263,0,0,0,559,False,BOTTOM,3,1337,4,101214,15639,0,14727,0,3027,0,169,60,84,1,0,3956,374,983,0,0,9,0,17,2,4,7,False
0,0,10,0,0,0,0,6792,10,412,Thresh,6,10,0,160,0,10557,0,6,6,0,0,3,0,False,False,False,False,False,False,5,5735,5125,1,0,0,2,3855,3117,2055,3001,3023,0,3364,20,0,1,0,0,1,331,9808,4689,4460,0,0,0,1,0,0,0,3,0,3957,1389,8754,0,0,0,414,False,UTILITY,33,1337,0,16686,6078,743,13674,0,325,0,37,193,100,1,0,2920,0,458,0,0,9,0,39,7,5,14,False
1,0,3,0,0,0,2,12688,14,266,Aatrox,1,3,3744,3744,3744,18794,0,4,2,0,0,5,0,True,False,False,False,False,False,3,10235,8450,0,0,1,0,1054,6692,0,1036,3047,3071,3340,17,1,5,0,2,1,386,0,0,2727,0,12,0,0,0,0,0,12,0,98672,17333,14017,0,0,0,587,False,TOP,13,1337,0,98672,17333,0,18925,8,6666,0,164,223,110,1,0,0,0,2180,2,3,0,0,21,2,1,8,True
0,15,4,1,0,0,0,9843,12,76,Nidalee,5,3,1400,46613,1400,12122,0,3,1,0,3,6,0,True,False,False,False,False,False,0,9441,8735,2,0,1,0,4645,4636,2055,1052,1082,3020,3364,18,1,5,0,5,1,592,98387,7568,3497,0,108,0,0,1,0,0,25,0,13168,554,20267,0,0,0,560,False,JUNGLE,2,1337,51,157331,8400,0,24196,24,15898,699,14,131,70,5,0,45776,278,431,2,2,0,0,18,2,3,2,True
1,5,6,0,0,0,1,11807,14,777,Yone,9,1,4815,14927,4815,15608,0,3,0,0,0,17,0,False,True,False,False,False,False,0,12556,11150,1,0,1,0,3031,2031,3087,3006,1055,6673,3340,15,1,6,637,3,1,575,30526,4036,3613,1,15,0,0,1,0,0,22,0,101833,9374,11444,0,0,0,575,False,MIDDLE,9,1337,2,137214,14556,0,15777,7,5035,0,171,90,98,1,0,4854,1145,720,2,3,0,0,10,0,2,5,True
0,2,5,0,1,0,1,9862,12,429,Kalista,5,1,7141,15534,7141,5992,0,4,0,0,0,4,1,True,False,False,False,False,False,0,10725,8250,0,2,2,0,3124,6672,1055,1083,3006,0,3363,14,1,6,0,2,1,430,15070,1112,2683,0,16,1,0,1,0,0,5,0,91076,11605,7874,0,0,0,215,False,BOTTOM,9,1337,12,108899,12821,0,11132,0,3967,598,152,144,94,3,0,2753,104,574,2,4,0,0,8,0,0,6,True
2,18,12,0,0,0,0,6131,10,53,Blitzcrank,9,10,198,2267,198,8885,0,3,8,0,0,4,0,True,False,False,False,False,False,0,6312,5700,0,0,2,0,3859,3111,2065,3024,1029,0,3364,21,0,0,0,0,0,628,4936,3110,3084,0,0,0,0,0,0,0,38,0,5022,1424,7268,0,0,0,88,False,UTILITY,34,1337,0,15647,4534,0,10619,0,241,0,24,165,45,1,0,5688,0,266,0,1,0,0,35,8,6,16,True
0,2,8,0,0,0,5,18664,18,122,Darius,14,6,7652,12850,7652,57280,0,1,1,4,0,7,0,False,False,False,True,False,False,0,17324,15925,0,0,3,0,3047,6631,4401,3075,6333,3066,3340,28,2,18,25,13,2,1499,6428,929,12800,0,0,0,0,0,0,0,15,0,154838,22106,20754,0,0,0,674,False,TOP,32,1900,0,178497,31724,0,38473,0,11421,0,197,346,48,1,0,17230,8689,4918,1,8,5,0,18,1,3,9,True
0,2,11,0,1,0,3,16275,16,104,Graves,5,6,2269,46743,2269,20966,0,6,4,0,2,1,0,False,False,False,False,False,False,2,13406,12775,0,0,1,0,3155,2055,3111,6692,6676,3031,3364,23,1,5,618,3,1,575,2728,1094,8687,0,164,1,0,1,0,0,1,0,219990,13268,18253,0,0,0,96,False,JUNGLE,20,1900,107,269797,16217,0,28389,23,13196,0,59,331,121,1,0,47077,1854,1448,3,4,5,0,43,5,9,14,True
0,0,14,0,0,0,3,18190,17,90,Malzahar,18,2,6367,16263,6367,15872,0,6,0,1,0,34,0,False,False,False,False,False,False,9,14967,13685,2,2,3,0,3157,6653,3165,3116,3020,1052,3363,25,2,8,0,3,2,389,198256,33857,12419,0,4,0,0,1,0,0,31,0,7958,529,8691,0,0,0,86,False,MIDDLE,81,1900,0,218690,34441,0,22539,0,1193,0,219,659,191,1,0,12475,54,1428,4,8,5,0,27,0,3,12,True
2,8,9,0,0,0,0,13588,15,222,Jinx,20,3,8456,24462,8456,12420,0,8,2,3,0,8,0,False,False,False,False,False,False,8,14924,14300,0,1,3,0,3026,0,3046,3031,6672,3006,3363,22,4,12,808,4,2,308,1145,700,10711,0,22,0,0,0,0,0,28,0,215219,41293,15660,0,0,0,213,False,BOTTOM,41,1900,18,235948,48711,0,27179,0,4332,0,204,257,233,1,0,19584,6717,807,3,7,5,0,19,2,1,9,True
1,7,32,0,0,0,0,13083,15,16,Soraka,3,4,875,2959,875,6995,0,3,2,0,0,10,0,False,False,False,False,False,False,0,9731,8350,1,0,2,0,3853,6617,3083,1028,3117,3916,3364,22,0,0,0,0,0,470,12743,7177,9102,0,0,0,0,1,0,0,39,0,1463,593,5800,0,0,0,446,False,UTILITY,45,1900,0,15902,7770,1328,16156,0,27541,19112,20,209,51,5,0,1695,0,1252,0,8,5,0,82,2,11,37,True
0,12,4,0,0,0,1,15024,16,83,Yorick,6,2,7132,7332,7132,23861,0,10,1,0,0,41,0,True,False,False,False,False,False,0,11724,11575,0,0,0,3,6632,3076,0,3158,6694,3071,3363,30,0,2,4,0,1,389,11963,5747,7530,0,0,0,1,0,0,0,16,0,116982,11658,20928,0,0,0,274,False,TOP,13,1900,0,134924,17915,0,32051,0,5569,0,172,186,346,1,0,5978,508,3593,3,3,11,0,25,1,2,10,False
2,6,8,0,1,0,0,12509,14,76,Nidalee,32,3,921,15995,921,25055,0,9,2,0,1,20,0,False,False,False,False,False,False,0,11997,11735,0,0,0,3,3157,0,4645,1052,3020,4636,3364,20,1,4,0,3,1,330,138298,23768,7279,0,140,0,1,0,2,0,26,0,14732,1404,29574,0,0,0,183,False,JUNGLE,16,1900,75,188310,29430,0,39386,28,17302,2597,27,231,303,5,0,35279,4257,2532,1,2,11,0,36,2,9,4,False
0,3,6,1,0,0,0,16565,17,8,Vladimir,9,4,1084,4745,1084,21209,0,6,2,0,0,16,0,True,False,False,False,False,False,0,13882,13850,0,0,0,3,3152,4629,3158,3089,4630,3916,3363,24,1,4,0,2,1,589,187800,18259,17603,0,0,0,1,0,0,0,28,0,18152,1606,17277,0,0,0,215,False,MIDDLE,3,1900,0,210488,21681,0,38681,0,28375,0,244,111,207,1,0,4535,1815,3799,0,1,11,0,26,2,2,11,False
0,2,4,0,0,0,0,12141,14,360,Samira,13,2,3884,5277,3884,23913,0,9,0,2,1,12,0,False,True,False,False,False,False,0,15228,14312,0,0,0,3,3031,6673,3140,6676,3123,3047,3363,22,3,10,691,5,2,583,14820,2582,5694,0,12,0,1,0,0,0,28,0,141192,24145,21080,0,0,0,660,False,BOTTOM,6,1900,8,157095,27655,0,30758,0,7084,0,200,31,293,1,0,1082,928,3983,1,2,11,0,4,0,2,0,False
2,5,11,0,0,0,0,10426,13,555,Pyke,20,4,267,8299,267,21982,0,10,1,1,0,1,0,True,False,False,False,False,False,11,10223,8900,2,0,0,3,1031,3179,3857,3047,6691,3066,3364,22,2,4,0,2,2,563,210,210,7517,1,0,0,1,0,0,0,21,0,22902,7611,17771,0,0,0,414,False,UTILITY,20,1900,0,34710,9380,0,28695,0,4588,451,45,91,250,5,0,11597,1558,3406,0,1,11,0,78,2,18,36,False
0,0,11,0,0,0,4,14396,15,516,Ornn,0,1,4832,8626,4832,33516,0,2,0,0,0,4,0,False,False,False,False,False,False,0,12047,11050,0,0,1,0,1054,7026,3047,3075,3068,3082,3363,23,1,6,4,4,1,537,45631,10471,5030,0,0,0,0,1,0,0,5,0,48713,5478,13089,0,0,0,538,False,TOP,38,1514,0,96762,16190,0,20608,0,3934,0,171,408,60,1,0,2418,240,2487,1,5,4,0,17,0,4,8,True
9,10,17,0,1,0,3,12509,14,59,JarvanIV,18,1,3549,33102,3549,39921,0,6,0,2,4,2,0,True,False,False,False,False,False,0,12578,11000,1,1,1,0,7015,3053,3026,0,3047,0,3364,16,2,8,0,4,2,317,9530,1220,8077,0,116,1,0,1,1,0,3,0,117901,13925,20748,0,0,0,601,False,JUNGLE,24,1514,58,156828,16201,0,29656,14,14210,0,14,378,139,1,0,29396,1056,831,2,4,4,0,11,0,2,0,True
0,6,9,2,0,0,1,12522,14,127,Lissandra,2,5,2757,8674,2757,16993,0,7,2,0,0,4,0,False,True,False,False,False,False,0,10145,8725,1,0,1,0,3157,2055,3916,6655,3020,1056,3363,20,1,6,0,3,1,635,101719,9991,4681,0,1,0,0,1,0,1,7,0,7854,1112,16584,0,0,0,452,False,MIDDLE,30,1514,0,111851,11340,0,22605,0,2327,0,161,236,238,1,0,2277,236,1339,0,4,4,0,25,3,1,12,True
0,3,6,0,0,0,0,10764,13,221,Zeri,9,1,3190,21134,3190,9997,0,5,0,0,0,7,0,False,False,False,False,False,False,0,12014,11150,0,0,0,0,2031,3031,7008,3006,3046,0,3363,20,2,8,4452,5,1,576,14425,3748,3613,0,0,0,0,0,0,1,14,0,84978,11164,9622,0,0,0,215,False,BOTTOM,8,1514,0,134419,15182,0,14175,0,2242,0,186,120,94,1,0,35017,269,939,3,3,4,0,18,0,3,7,True
